100.000	189	189
30.928	194	189
100.000	215	215
31.776	214	215
32.093	215	215
31.658	199	215
100.000	217	217
34.579	214	217
31.050	219	217
31.579	228	217
100.000	211	211
35.514	214	211
30.374	214	211
30.808	198	211
31.443	194	211
100.000	209	209
30.412	194	209
32.663	199	209
34.197	193	209
30.808	198	209
33.508	191	209
100.000	208	208
42.584	209	208
30.415	217	208
32.558	215	208
100.000	207	207
100.000	198	198
32.308	195	198
100.000	213	213
35.514	214	213
36.073	219	213
31.776	214	213
33.796	216	213
35.321	218	213
32.857	210	213
100.000	208	208
42.584	209	208
31.797	217	208
30.180	222	208
100.000	214	214
31.797	217	214
30.415	217	214
30.973	226	214
31.579	228	214
100.000	216	216
36.073	219	216
31.628	215	216
32.710	214	216
32.020	203	216
30.986	213	216
100.000	193	193
32.308	195	193
31.731	208	193
100.000	221	221
33.810	210	221
30.093	216	221
31.100	209	221
31.731	208	221
100.000	195	195
38.974	195	195
100.000	214	214
32.093	215	214
30.516	213	214
30.660	212	214
100.000	217	217
43.182	220	217
39.631	217	217
38.009	221	217
31.839	223	217
100.000	211	211
36.239	218	211
31.944	216	211
31.628	215	211
33.796	216	211
100.000	215	215
39.815	216	215
37.557	221	215
35.981	214	215
31.696	224	215
30.594	219	215
31.579	228	215
100.000	222	222
43.182	220	222
38.356	219	222
37.557	221	222
30.769	221	222
31.527	203	222
100.000	201	201
35.323	201	201
31.944	216	201
31.373	204	201
100.000	253	253
100.000	219	219
38.356	219	219
38.009	221	219
35.484	217	219
32.727	220	219
32.258	217	219
100.000	207	207
32.020	203	207
33.333	213	207
32.857	210	207
34.197	193	207
30.660	212	207
100.000	208	208
35.323	201	208
36.239	218	208
35.321	218	208
32.710	214	208
33.333	213	208
31.443	194	208
32.632	190	208
100.000	212	212
34.562	217	212
100.000	196	196
38.974	195	196
